"Contcod_2008","Group_2008","RRinc_2008","Quintile(AGG)_2008","Pop(SUM)_2008"
"UKR",9,5649,16,4996.55
"IRL",2,6942,16,5155.85
"NLD",1,5688,16,4998.20
"CZE",5,5706,16,4999.24
"TUR",9,5759,16,5006.33
"HRV",9,13324,18,5587.19
"FJI",10,5900,16,5022.49
"PRT",5,5986,16,5023.78
"ALB",10,6048,16,5026.95
"CHL",8,6131,16,5028.99
"NIC",10,6178,16,5029.55
"SGP",3,6251,16,5031.41
"MAR",10,6425,16,5034.81
"ISR",5,6439,16,5035.54
"CRI",9,7287,17,5209.92
"SRB",10,6511,16,5041.73
"GRC",4,6602,16,5057.63
"ITA",5,9662,17,5362.84
"AZE",10,6604,16,5058.50
"LTU",8,6730,16,5135.08
"CYP",5,6841,16,5140.63
"BEL",2,6870,16,5141.70
"CZE",7,6906,16,5146.71
"HUN",9,6922,16,5150.09
"USA",2,6967,16,5186.26
"ITA",3,6995,17,5192.25
"JPN",3,7033,17,5205.02
"NOR",9,26176,19,5937.86
"NOR",1,7259,17,5208.71
"SVN",3,7320,17,5210.12
"FRA",2,7626,17,5216.56
"ESP",4,7638,17,5221.12
"ARG",8,7677,17,5225.09
"CYP",6,7681,17,5225.20
"EST",8,7704,17,5225.33
"LUX",1,7720,17,5225.38
"ESP",10,24857,19,5934.45
"CZE",8,7800,17,5234.63
"BEL",3,8388,17,5278.89
"GRC",5,7801,17,5235.76
"HRV",6,7932,17,5238.25
"SWE",2,7949,17,5239.17
"THA",10,8034,17,5248.30
"PRT",7,8066,17,5252.11
"SVN",4,8195,17,5252.31
"DNK",2,8314,17,5265.63
"KOR",4,8316,17,5270.53
"NLD",2,8499,17,5280.54
"CYP",7,8510,17,5280.65
"LVA",9,8778,17,5302.82
"GRC",6,8892,17,5316.32
"GBR",2,8812,17,5308.96
"ESP",5,8816,17,5313.51
"SVN",5,9031,17,5318.82
"SLV",10,9208,17,5323.59
"EST",9,9311,17,5324.77
"FRA",3,9451,17,5339.95
"SWE",3,9478,17,5341.70
"ISL",1,9482,17,5341.73
"ISR",8,11851,18,5494.23
"JPN",5,9614,17,5354.50
"PER",10,11075,17,5461.00
"DNK",3,9639,17,5355.78
"CYP",8,9664,17,5362.95
"IRL",4,9680,17,5363.39
"PRT",8,9706,17,5364.45
"USA",3,9885,17,5399.75
"SVK",10,9914,17,5400.30
"SGP",5,9973,17,5400.78
"SVN",6,9983,17,5400.98
"ESP",6,10130,17,5411.37
"FIN",5,10579,17,5412.36
"GTM",10,10778,17,5423.74
"DEU",4,10788,17,5431.95
"AUT",4,10809,17,5432.79
"BEL",5,10855,17,5433.86
"NOR",2,10934,17,5434.33
"NLD",10,37224,19,6015.12
"IRL",5,10955,17,5434.78
"SVN",7,10984,17,5438.95
"FRA",4,10991,17,5445.39
"JPN",6,10991,17,5458.16
"ITA",6,11123,17,5466.99
"BOL",10,11131,17,5467.95
"LUX",2,11148,17,5468.00
"GBR",3,11224,17,5474.14
"KOR",6,11244,17,5479.03
"NLD",4,11276,17,5480.68
"TWN",7,11461,17,5482.98
"DOM",10,11587,17,5484.05
"PAN",10,13056,18,5573.64
"ESP",7,11642,17,5488.61
"DEU",10,38001,19,6023.33
"DNK",5,11733,17,5489.16
"POL",10,11799,18,5492.97
"SWE",5,11916,18,5496.28
"SGP",6,12123,18,5498.90
"MKD",10,12181,18,5502.44
"BEL",6,12185,18,5503.51
"SGP",10,46890,19,6061.14
"DEU",5,12208,18,5511.72
"JPN",9,17786,18,5758.94
"SVN",8,12330,18,5511.92
"AUT",5,12333,18,5512.75
"IRL",6,12398,18,5513.20
"JPN",7,12523,18,5533.47
"NOR",3,12600,18,5534.71
"NLD",5,12620,18,5536.35
"ITA",7,12788,18,5572.75
"KOR",7,13060,18,5578.53
"PRY",10,13110,18,5580.08
"GBR",4,13157,18,5586.22
"FIN",7,13307,18,5586.75
"LUX",3,13365,18,5587.24
"ISL",2,13368,18,5587.27
"COL",10,13660,18,5598.63
"BEL",7,13691,18,5599.70
"LUX",6,19948,19,5854.77
"DEU",6,13758,18,5607.91
"AUT",6,13838,18,5608.75
"NOR",4,13984,18,5609.22
"NLD",6,14143,18,5610.87
"IRL",7,14261,18,5611.31
"SVN",9,14309,18,5611.65
"FRA",6,14316,18,5618.08
"DNK",7,14350,18,5618.63
"CZE",10,14478,18,5619.68
"LTU",10,14504,18,5620.01
"GBR",5,15227,18,5662.11
"FIN",8,15245,18,5663.37
"LUX",4,15431,18,5663.42
"KOR",8,15507,18,5668.79
"BIH",10,15518,18,5669.17
"LVA",10,15669,18,5671.30
"ISL",3,15750,18,5679.54
"SGP",7,16076,18,5716.96
"DNK",8,16394,18,5728.50
"TWN",9,16507,18,5730.81
"MYS",10,16622,18,5733.56
"SWE",8,16761,18,5734.48
"IRL",8,16863,18,5734.92
"CHE",6,17414,18,5739.95
"GBR",6,17485,18,5746.09
"LUX",5,17648,18,5746.13
"AUT",8,17964,18,5759.77
"ITA",9,18039,18,5765.75
"DEU",8,18149,18,5773.96
"URY",10,18168,18,5774.30
"BRA",10,18498,18,5795.63
"FRA",8,19166,19,5817.33
"USA",6,19209,19,5847.74
"KOR",9,19352,19,5853.11
"SWE",9,19847,19,5854.72
"GBR",7,20130,19,5860.91
"CAN",6,20184,19,5864.24
"IRL",9,20308,19,5864.69
"SVN",10,20390,19,5864.89
"CHE",7,20650,19,5865.65
"ARG",10,21743,19,5870.49
"DEU",9,22110,19,5878.70
"NOR",8,22199,19,5879.23
"SGP",8,23079,19,5881.36
"PRT",10,23095,19,5882.42
"CAN",7,23381,19,5885.75
"USA",7,23430,19,5916.16
"FRA",9,23591,19,5922.60
"GBR",8,23774,19,5928.74
"ISL",9,33594,19,6010.13
"GRC",10,24353,19,5929.86
"ISL",7,24385,19,5929.89
"HRV",10,25285,19,5935.65
"LUX",8,25935,19,5937.38
"CAN",8,27507,19,5941.92
"ISL",8,27886,19,5944.26
"ITA",10,28984,19,5950.24
"SWE",10,28988,19,5951.16
"BEL",10,30173,19,6002.57
"LUX",9,31031,19,6002.62
"DNK",10,31321,19,6003.17
"CHE",9,31501,19,6003.93
"KOR",10,32295,19,6008.83
"IRL",10,33293,19,6009.27
"AUT",10,33355,19,6010.10
"SYC",10,33627,19,6010.14
"CAN",9,33782,19,6013.47
"USA",9,38077,19,6053.74
"NOR",10,41164,19,6054.22
"FRA",10,43111,19,6060.65
"LUX",10,51521,19,6061.19
"GBR",10,52257,19,6067.33
"CHE",10,53300,19,6068.09
"ISL",10,59348,19,6071.45
